Car Make,Car Model,Year,Mileage,Price,Fuel Type,Color,Transmission,Condition,Accident,Price_Class,Age,LogMileage,Backup Camera,Bluetooth,GPS,Heated Seats,Leather Seats,Navigation,Remote Start,Sunroof
12,108,2010,52554,-0.029483043895403148,3,0,0,2,0,2,1.7053898282358029,-0.05720812175323041,0,0,0,1,0,0,0,0
16,93,2016,115056,-0.32099073892131674,0,7,1,2,0,2,0.10804097259799482,0.9092303465871778,0,0,1,0,0,0,0,0
11,13,2022,18044,-0.2766521772055146,1,9,1,0,1,2,-1.4893078830398132,-1.3756838312461053,1,1,1,0,1,0,0,0
14,101,2011,79251,-0.2742712774420214,3,5,1,1,1,2,1.4391650189628349,0.4494314458269273,1,0,1,1,1,0,0,0
28,57,2022,40975,-0.22611751124430954,1,7,0,1,1,2,-1.4893078830398132,-0.36416464206240995,0,0,0,1,1,0,1,1
16,111,2020,97842,-0.6138926461165493,2,4,0,0,1,1,-0.9568582644938772,0.7093440297264999,1,0,0,0,0,0,1,1
18,21,2014,35192,-0.3550384335375659,1,8,1,2,0,2,0.6404905911439308,-0.5518106544392812,0,0,0,0,0,0,0,1
1,89,2016,109975,-0.36070060339269583,3,3,1,1,1,2,0.10804097259799482,0.8535240048948837,1,0,1,0,0,0,0,0
1,90,2018,55830,-0.0042275394618947,1,7,0,1,0,2,-0.4244086459479412,0.01737333202167985,0,1,0,0,1,0,0,0
5,107,2012,24753,-0.5550215936965449,3,9,1,2,1,1,1.172940209689867,-0.985788810460463,0,0,1,0,1,0,0,1
13,119,2020,84382,-0.20809329569346374,2,7,0,0,1,2,-0.9568582644938772,0.5268056233942371,1,1,1,0,0,0,1,0
2,0,2019,137924,-0.43885119148777657,2,9,0,0,1,1,-0.6906334552209091,1.1328209176808801,0,0,1,0,0,0,0,1
1,12,2021,27106,-0.3715778862783126,0,6,0,2,1,2,-1.2230830737668452,-0.8737916148824509,1,0,0,1,1,0,1,0
14,52,2014,106558,-0.4252432573777497,1,2,0,2,1,1,0.6404905911439308,0.8145943312453185,0,1,0,0,0,0,0,0
1,90,2020,106335,-0.4397034383059007,0,7,0,2,0,1,-0.9568582644938772,0.8120104806660327,0,1,0,1,0,0,0,1
11,48,2021,27208,-0.48081800500020566,3,7,0,2,1,1,-1.2230830737668452,-0.8691592715745728,1,1,1,1,0,0,0,0
28,57,2013,94583,-0.12329842592913888,3,1,0,1,1,2,0.9067154004168988,0.6675621748887176,0,1,0,0,0,0,0,0
1,90,2022,146497,-0.18635927424086712,2,7,0,2,1,2,-1.4893078830398132,1.2071960104092956,0,0,0,0,1,0,1,0
9,5,2021,119733,-0.6297956918958821,1,1,1,2,1,1,-1.2230830737668452,0.9583744269247442,1,1,0,0,1,0,1,0
13,118,2015,120499,-0.3153637745576694,1,4,1,1,0,2,0.3742657818709628,0.9662398774605794,0,1,0,0,0,0,1,0
10,78,2015,31893,-0.25567891809759646,2,3,0,1,1,2,0.3742657818709628,-0.6732116403015598,1,0,1,0,1,0,0,1
26,77,2015,11991,-0.42180999045595485,3,5,1,1,1,1,0.3742657818709628,-1.8796796042821975,0,1,0,0,0,0,0,0
26,74,2015,30974,-0.18408645004450655,1,8,0,1,1,2,0.3742657818709628,-0.7092726373224637,1,0,0,1,1,0,0,1
9,4,2011,9981,-0.5108824363825435,0,5,1,1,1,1,1.4391650189628349,-2.1059514115624953,0,1,1,0,0,0,0,0
10,42,2016,124829,-0.6190857518238901,3,2,0,2,1,1,0.10804097259799482,1.0097820580673544,0,1,0,0,0,0,0,1
27,92,2015,68062,-0.3345338650443706,0,0,1,1,1,2,0.3742657818709628,0.2617119584875851,0,0,1,1,0,0,1,1
14,52,2021,9257,-0.4541970504434701,2,7,0,2,1,1,-1.2230830737668452,-2.1988194876346574,0,1,1,0,1,0,0,0
6,41,2020,50898,-0.1890129776536549,3,9,0,1,1,2,-0.9568582644938772,-0.09669728919540528,0,1,1,0,1,0,1,0
20,18,2015,86284,-0.36550735139863944,3,3,0,2,1,2,0.3742657818709628,0.5542974900832405,0,1,1,0,0,0,1,0
22,14,2022,101474,-0.40945289407336505,3,9,1,0,1,1,-1.4893078830398132,0.7542987427882355,1,1,0,1,0,0,0,1
2,114,2011,117881,-0.316722189808151,0,5,1,0,1,2,1.4391650189628349,0.9391478517087857,0,1,0,0,0,0,0,0
28,85,2017,116703,-0.5609056110651988,3,7,1,1,1,1,-0.15818383667497318,0.9267606078807504,1,1,1,1,0,0,0,0
18,20,2018,46939,-0.12042906942617367,0,2,1,1,1,2,-0.4244086459479412,-0.19656809038249562,0,0,0,0,1,0,0,0
14,52,2016,13489,-0.2149196436046893,3,7,1,0,0,2,0.10804097259799482,-1.734499476071873,1,1,0,0,0,0,0,0
18,20,2020,78056,-0.5144192964746777,2,6,0,0,1,1,-0.9568582644938772,0.43069226834687263,0,1,0,0,0,0,0,0
22,97,2013,79862,-0.26543946162651577,3,1,0,1,1,2,0.9067154004168988,0.45890384643597676,0,0,1,1,1,0,0,1
12,108,2021,22023,-0.3461133900943061,1,3,0,2,1,2,-1.2230830737668452,-1.1299149081724025,1,0,1,0,1,0,0,0
20,39,2013,134504,-0.6395496363406331,1,9,0,2,1,4,0.9067154004168988,1.1018522995601785,0,1,0,0,0,0,0,0
18,21,2018,112687,-0.10000951083327769,2,8,1,2,0,2,-0.4244086459479412,0.8835701659431828,1,1,0,1,0,0,0,1
11,48,2020,52700,-0.2240888531621741,0,4,0,1,1,2,-0.9568582644938772,-0.05378648337913969,0,1,0,0,1,0,1,0
26,76,2018,79461,-0.18030019437522177,1,1,1,1,1,2,-0.4244086459479412,0.4526953105202884,1,0,0,0,0,0,0,0
5,107,2019,45421,-0.5583528860912871,1,2,0,1,1,1,-0.6906334552209091,-0.2371138449161041,0,0,0,1,0,0,0,0
7,1,2020,60262,-0.22454966845475258,3,2,0,0,1,2,-0.9568582644938772,0.11159025709917024,0,0,0,0,1,0,1,1
28,105,2011,20705,-0.5657041413436876,3,9,1,1,1,1,1.4391650189628349,-1.2060260328420749,0,1,0,1,0,0,0,0
12,108,2016,39279,-0.22807631864307928,2,7,0,0,1,2,0.10804097259799482,-0.4163010173284157,0,0,0,1,1,0,0,1
1,11,2014,105702,-0.1700859326819803,3,1,0,0,1,2,0.6404905911439308,0.8046464245700659,0,0,0,0,1,0,1,0
13,60,2017,135746,-0.1617308695698747,3,6,0,0,1,2,-0.15818383667497318,1.1131889191057676,1,0,0,0,1,0,0,0
